KH.100170058	KY.Chr1.1142
KH.100178775	KY.Chr11.235
KH.100178792	KY.Chr14.3
KH.100178838	KY.Chr2.416
KH.100178895	KY.Chr13.391
KH.100178911	KY.Chr2.1436
KH.100178982	KY.Chr14.1144
KH.100179024	KY.Chr6.493
KH.100179037	KY.Chr8.923
KH.100179077	KY.Chr1.671
KH.100179195	KY.Chr4.1197
KH.100179209	KY.Chr3.112
KH.100179376	KY.Chr12.159
KH.100179386	KY.Chr12.110
KH.100179394	KY.Chr2.1570
KH.100179441	KY.UAContig4.21
KH.100179472	KY.Chr13.249
KH.100179504	KY.Chr14.35
KH.100179519	KY.Chr1.1994
KH.100179587	KY.Chr11.1298
KH.100179667	KY.Chr10.1354
KH.100179668	KY.Chr1.1114
KH.100179698	KY.Chr12.489
KH.100179913	KY.Chr13.199
KH.100179976	KY.Chr3.889
KH.100180021	KY.Chr12.351
KH.100180055	KY.Chr12.51
KH.100180097	KY.Chr3.370
KH.100180149	KY.Chr12.344
KH.100180227	KY.Chr7.1128
KH.100180282	KY.Chr1.825
KH.100180284	KY.Chr7.1045
KH.100180352	KY.Chr7.423
KH.100180389	KY.Chr9.437
KH.100180460	KY.Chr1.191
KH.100180577	KY.Chr11.856
KH.100180688	KY.Chr9.784
KH.100180702	KY.Chr4.786
KH.100180953	KY.Chr8.1288
KH.100181005	KY.Chr2.2274
KH.100181069	KY.Chr5.738
KH.100181242	KY.Chr1.2406
KH.100181265	KY.Chr1.2497
KH.100181295	KY.Chr12.555
KH.100181318	KY.Chr5.468
KH.100181374	KY.Chr3.152
KH.100181522	KY.Chr12.838
KH.100181548	KY.Chr3.1169
KH.100181819	KY.Chr3.1648
KH.100181843	KY.Chr3.1397
KH.100181869	KY.Chr4.926
KH.100181900	KY.Chr9.1119
KH.100182233	KY.Chr2.1243
KH.100182267	KY.Chr6.181
KH.100182307	KY.Chr3.886
KH.100182338	KY.Chr8.342
KH.100182382	KY.Chr11.834
KH.100182399	KY.Chr3.804
KH.100182452	KY.Chr7.459
KH.100182467	KY.Chr1.931
KH.100182511	KY.Chr10.1324
KH.100182696	KY.Chr10.169
KH.100182788	KY.Chr11.246
KH.100182826	KY.Chr5.474
KH.100182939	KY.Chr1.2599
KH.100182957	KY.Chr12.362
KH.100182986	KY.Chr11.1284
KH.100183011	KY.Chr4.656
KH.100183030	KY.Chr10.575
KH.100183059	KY.Chr10.247
KH.100183201	KY.Chr11.809
KH.100183219	KY.Chr8.234
KH.100183251	KY.Chr1.2321
KH.100183272	KY.Chr14.155
KH.100183380	KY.Chr2.2189
KH.100183436	KY.Chr3.1107
KH.100183521	KY.Chr9.830
KH.100183645	KY.Chr14.622
KH.100183705	KY.Chr9.555
KH.100183711	KY.Chr14.1006
KH.100183737	KY.Chr1.1643
KH.100183779	KY.Chr14.62
KH.100183997	KY.Chr4.991
KH.100184005	KY.Chr10.147
KH.100184017	KY.Chr14.140
KH.100184034	KY.Chr9.1015
KH.100184062	KY.Chr11.1114
KH.100184074	KY.Chr11.277
KH.100184146	KY.Chr4.633
KH.100184267	KY.Chr2.1128
KH.100184327	KY.Chr7.291
KH.100184351	KY.Chr10.1260
KH.100184364	KY.Chr2.1572
KH.100184426	KY.Chr5.827
KH.100184427	KY.Chr2.1062
KH.100184446	KY.Chr2.563
KH.100184472	KY.Chr1.1382
KH.100184473	KY.Chr6.232
KH.100184494	KY.Chr3.976
KH.100184572	KY.Chr11.783
KH.100184675	KY.Chr3.885
KH.100184758	KY.Chr8.390
KH.100184858	KY.Chr4.969
KH.100184947	KY.Chr11.824
KH.100185002	KY.Chr2.780
KH.100185124	KY.Chr2.1174
KH.100185265	KY.Chr1.1005
KH.100185290	KY.Chr12.952
KH.100185298	KY.Chr1.1609
KH.100185335	KY.Chr10.757
KH.100185395	KY.Chr6.82
KH.100185491	KY.Chr3.671
KH.100185500	KY.Chr7.560
KH.100185513	KY.Chr8.1190
KH.100185557	KY.Chr8.1197
KH.100185821	KY.Chr9.635
KH.100185825	KY.Chr2.1063
KH.100185890	KY.Chr10.101
KH.100185914	KY.Chr7.255
KH.100185925	KY.Chr6.176
KH.100185964	KY.Chr1.2355
KH.100185967	KY.Chr13.141
KH.100186015	KY.Chr4.265
KH.100186022	KY.Chr3.868
KH.100186091	KY.Chr8.707
KH.100186175	KY.Chr4.766
KH.100186184	KY.Chr12.820
KH.100186279	KY.Chr8.361
KH.100186292	KY.Chr3.1165
KH.100186330	KY.Chr4.1131
KH.100186544	KY.Chr2.452
KH.100186646	KY.Chr10.617
KH.100186822	KY.Chr12.998
KH.100186833	KY.Chr4.50
KH.100186842	KY.Chr2.762
KH.100186855	KY.Chr8.1363
KH.100186885	KY.Chr6.605
KH.100186908	KY.Chr1.2382
KH.100186978	KY.Chr11.727
KH.100187001	KY.Chr4.770
KH.100187298	KY.Chr4.238
KH.100187374	KY.Chr9.902
KH.100187434	KY.Chr2.524
KH.100187450	KY.UAContig26.2
KH.100187512	KY.Chr5.1019
KH.100187513	KY.Chr1.1561
KH.100187537	KY.Chr7.750
KH.101241923	KY.Chr4.1013
KH.101241931	KY.Chr8.641
KH.101241943	KY.Chr9.72
KH.101241944	KY.UAContig2.48
KH.101241954	KY.Chr3.1286
KH.101241979	KY.Chr10.165
KH.101241990	KY.Chr5.558
KH.101241991	KY.Chr8.1080
KH.101242023	KY.Chr11.210
KH.101242045	KY.Chr9.85
KH.101242054	KY.Chr12.211
KH.101242098	KY.Chr3.1327
KH.101242100	KY.Chr4.543
KH.101242105	KY.Chr6.1
KH.101242112	KY.Chr11.765
KH.101242129	KY.Chr2.494
KH.101242167	KY.Chr9.391
KH.101242172	KY.Chr9.623
KH.101242180	KY.Chr13.482
KH.101242211	KY.Chr4.1166
KH.101242212	KY.Chr1.2139
KH.101242224	KY.Chr7.50
KH.101242230	KY.Chr13.246
KH.101242256	KY.Chr4.572
KH.101242260	KY.Chr14.361
KH.101242271	KY.UAContig1.31
KH.101242273	KY.Chr9.876
KH.101242274	KY.Chr12.351
KH.101242280	KY.Chr11.158
KH.101242292	KY.Chr1.1786
KH.101242298	KY.UAContig1.19
KH.101242299	KY.Chr9.875
KH.101242301	KY.Chr1.661
KH.101242324	KY.Chr6.394
KH.101242325	KY.Chr12.170
KH.101242326	KY.Chr14.145
KH.101242333	KY.Chr9.483
KH.101242358	KY.Chr6.390
KH.101242368	KY.Chr2.1147
KH.101242373	KY.Chr3.81
KH.101242396	KY.Chr13.210
KH.101242407	KY.UAContig8.36
KH.101242408	KY.Chr6.551
KH.101242410	KY.Chr2.527
KH.101242416	KY.Chr12.607
KH.101242417	KY.Chr3.88
KH.101242426	KY.Chr6.670
KH.101242437	KY.Chr6.550
KH.101242440	KY.Chr5.312
KH.101242445	KY.Chr1.2174
KH.101242447	KY.Chr4.598
KH.101242475	KY.Chr3.113
KH.101242478	KY.Chr12.189
KH.101242484	KY.Chr1.131
KH.101242497	KY.Chr1.748
KH.101242514	KY.Chr14.58
KH.101242533	KY.Chr2.49
KH.101242537	KY.Chr9.169
KH.101242545	KY.Chr3.1420
KH.101242569	KY.Chr12.406
KH.101242580	KY.Chr3.174
KH.101242596	KY.Chr1.1900
KH.101242609	KY.Chr3.1447
KH.101242619	KY.Chr11.552
KH.101242620	KY.Chr8.919
KH.101242630	KY.Chr5.540
KH.101242631	KY.Chr2.2254
KH.101242635	KY.UAContig1.12
KH.101242641	KY.Chr10.1291
KH.101242676	KY.Chr8.1197
KH.101242679	KY.Chr3.1107
KH.101242715	KY.Chr12.281
KH.101242729	KY.Chr9.221
KH.101242749	KY.Chr5.699
KH.101242759	KY.Chr6.120
KH.101242760	KY.Chr8.760
KH.101242766	KY.Chr10.954
KH.101242769	KY.Chr11.43
KH.101242780	KY.Chr12.428
KH.101242791	KY.Chr7.453
KH.101242799	KY.Chr8.846
KH.101242806	KY.Chr6.473
KH.101242848	KY.Chr8.524
KH.101242852	KY.Chr2.1315
KH.101242864	KY.Chr14.138
KH.101242875	KY.Chr9.925
KH.101242881	KY.UAContig2.31
KH.101242922	KY.Chr1.1949
KH.101242946	KY.UAContig1.95
KH.101242967	KY.Chr1.2515
KH.101242968	KY.Chr7.101
KH.101242975	KY.Chr14.280
KH.101242988	KY.Chr1.2277
KH.101243009	KY.Chr3.1714
KH.101243025	KY.Chr11.854
KH.101243029	KY.Chr9.293
KH.101243035	KY.Chr1.2322
KH.101243037	KY.Chr8.1275
KH.101243042	KY.Chr13.151
KH.101243054	KY.Chr12.442
KH.101243057	KY.Chr5.856
KH.101243068	KY.Chr3.1184
KH.101243069	KY.Chr5.112
KH.101243073	KY.Chr3.1570
KH.101243097	KY.Chr1.1420
KH.101243113	KY.Chr6.296
KH.101243132	KY.Chr10.960
KH.101243140	KY.Chr3.903
KH.101243153	KY.Chr3.1197
KH.101243178	KY.Chr10.1024
KH.101243184	KY.Chr3.1536
KH.101243185	KY.Chr8.939
KH.101243194	KY.Chr3.341
KH.101243195	KY.UAContig16.4
KH.101243204	KY.Chr6.116
KH.101243218	KY.Chr8.1314
KH.101243229	KY.Chr7.801
KH.101243256	KY.Chr10.1047
KH.101243268	KY.Chr1.548
KH.101243272	KY.Chr1.2146
KH.101243295	KY.Chr7.1137
KH.101243297	KY.Chr6.87
KH.101243312	KY.Chr4.1088
KH.101243313	KY.Chr7.101
KH.101243328	KY.Chr10.1064
KH.101243335	KY.Chr3.1234
KH.101243338	KY.Chr1.723
KH.101243371	KY.Chr1.718
KH.101243385	KY.Chr7.823
KH.101243405	KY.Chr4.433
KH.101243409	KY.Chr13.336
KH.101243421	KY.UAContig10.16
KH.101243422	KY.Chr4.592
KH.101243426	KY.Chr12.124
KH.101243428	KY.Chr1.1566
KH.101243430	KY.Chr10.741
KH.101243438	KY.Chr4.409
KH.101243455	KY.Chr8.600
KH.101243463	KY.Chr3.445
KH.101243464	KY.Chr11.1330
KH.101243484	KY.Chr3.487
KH.101243486	KY.Chr5.540
KH.101243506	KY.UAContig8.7
KH.104265341	KY.Chr1.1526
KH.104265342	KY.UAContig1.5
KH.104265352	KY.Chr11.464
KH.104265356	KY.Chr1.2275
KH.104265359	KY.Chr1.2361
KH.104265364	KY.Chr1.2396
KH.104265366	KY.Chr1.2464
KH.104265382	KY.Chr13.390
KH.104265433	KY.Chr10.205
KH.104265434	KY.Chr10.203
KH.104265437	KY.Chr2.163
KH.104265447	KY.Chr10.201
KH.104265451	KY.Chr2.548
KH.104265452	KY.Chr2.779
KH.104265453	KY.Chr2.824
KH.104265455	KY.Chr2.870
KH.104265464	KY.Chr2.1037
KH.104265465	KY.Chr2.1084
KH.104265474	KY.Chr2.1276
KH.104265479	KY.Chr2.1527
KH.104265482	KY.Chr11.25
KH.104265524	KY.UAContig1.43
KH.104265527	KY.Chr8.63
KH.104265534	KY.UAContig3.44
KH.104265536	KY.UAContig3.45
KH.104265542	KY.Chr11.733
KH.104265552	KY.Chr1.1564
KH.104265553	KY.Chr3.940
KH.104265554	KY.Chr3.941
KH.104265555	KY.Chr3.1037
KH.104265556	KY.Chr3.1037
KH.104265557	KY.Chr3.1047
KH.104265564	KY.Chr3.1248
KH.104265566	KY.Chr3.1283
KH.104265567	KY.UAContig3.137
KH.104265569	KY.Chr3.1419
KH.104265572	KY.Chr3.1447
KH.104265575	KY.Chr3.1462
KH.104265580	KY.Chr3.1527
KH.104265585	KY.Chr1.2610
KH.104265600	KY.Chr4.347
KH.104265604	KY.Chr8.931
KH.104265612	KY.Chr4.418
KH.104265615	KY.Chr12.320
KH.104265623	KY.Chr4.815
KH.104265625	KY.Chr4.873
KH.104265627	KY.Chr6.547
KH.104265643	KY.Chr4.247
KH.104265647	KY.Chr4.344
KH.104265652	KY.Chr4.389
KH.104265656	KY.Chr4.575
KH.104265663	KY.Chr4.750
KH.104265666	KY.Chr4.767
KH.104265667	KY.Chr4.770
KH.104265675	KY.Chr4.961
KH.104265680	KY.UAContig4.1
KH.104265681	KY.Chr6.453
KH.104265683	KY.Chr12.1025
KH.104265692	KY.Chr7.101
KH.104265698	KY.Chr5.216
KH.104265701	KY.Chr3.1322
KH.104265712	KY.Chr5.164
KH.104265719	KY.Chr5.363
KH.104265720	KY.Chr5.367
KH.104265724	KY.Chr5.492
KH.104265730	KY.Chr12.400
KH.104265731	KY.Chr13.206
KH.104265734	KY.Chr5.701
KH.104265742	KY.Chr1.2493
KH.104265744	KY.UAContig7.102
KH.104265746	KY.Chr5.121
KH.104265752	KY.Chr5.178
KH.104265765	KY.Chr5.707
KH.104265773	KY.Chr6.224
KH.104265777	KY.Chr6.353
KH.104265784	KY.UAContig1.33
KH.104265785	KY.Chr6.69
KH.104265798	KY.Chr4.1080
KH.104265802	KY.Chr6.89
KH.104265813	KY.Chr10.1345
KH.104265820	KY.UAContig10.2
KH.104265827	KY.Chr7.919
KH.104265838	KY.Chr7.385
KH.104265840	KY.Chr7.444
KH.104265847	KY.Chr7.714
KH.104265850	KY.Chr7.820
KH.104265851	KY.Chr7.838
KH.104265852	KY.Chr7.850
KH.104265853	KY.Chr7.921
KH.104265856	KY.Chr7.988
KH.104265858	KY.Chr12.602
KH.104265862	KY.Chr13.192
KH.104265872	KY.Chr7.263
KH.104265874	KY.Chr11.427
KH.104265881	KY.Chr8.325
KH.104265891	KY.Chr8.496
KH.104265892	KY.Chr8.509
KH.104265897	KY.Chr8.638
KH.104265910	KY.Chr8.943
KH.104265936	KY.Chr8.297
KH.104265937	KY.Chr8.304
KH.104265940	KY.Chr10.1285
KH.104265947	KY.Chr8.469
KH.104265955	KY.Chr8.583
KH.104265959	KY.Chr14.463
KH.104265962	KY.Chr8.755
KH.104265965	KY.Chr8.821
KH.104265966	KY.Chr8.820
KH.104265967	KY.Chr8.825
KH.104265968	KY.Chr8.831
KH.104265969	KY.Chr8.908
KH.104265974	KY.Chr8.1048
KH.104265976	KY.UAContig1.112
KH.104265977	KY.Chr8.1094
KH.104265979	KY.Chr12.304
KH.104265982	KY.Chr8.1281
KH.104265985	KY.Chr8.1300
KH.104265999	KY.Chr2.1570
KH.104266012	KY.Chr10.145
KH.104266017	KY.Chr9.225
KH.104266020	KY.Chr13.219
KH.104266034	KY.Chr10.934
KH.104266043	KY.Chr1.1071
KH.104266045	KY.Chr4.712
KH.104266046	KY.Chr5.954
KH.104266056	KY.Chr9.1070
KH.104266076	KY.Chr3.58
KH.104266077	KY.Chr9.1137
KH.104266079	KY.Chr8.224
KH.104266080	KY.Chr13.98
KH.104266087	KY.Chr12.124
KH.104266094	KY.Chr10.306
KH.104266096	KY.Chr3.470
KH.104266097	KY.Chr6.471
KH.104266099	KY.UAContig8.7
KH.104266103	KY.Chr10.241
KH.104266111	KY.Chr3.507
KH.104266115	KY.Chr6.694
KH.104266117	KY.Chr7.199
KH.104266121	KY.Chr9.302
KH.104266126	KY.UAContig7.45
KH.104266130	KY.Chr13.135
KH.104266132	KY.Chr10.897
KH.104266138	KY.Chr11.129
KH.104266139	KY.Chr2.2254
KH.104266143	KY.Chr1.1157
KH.104266144	KY.Chr6.690
KH.104266153	KY.Chr10.642
KH.104266158	KY.Chr10.891
KH.104266159	KY.Chr10.891
KH.104266160	KY.Chr10.899
KH.104266161	KY.Chr10.939
KH.104266164	KY.Chr10.966
KH.104266170	KY.Chr10.1144
KH.104266171	KY.Chr3.1698
KH.104266175	KY.Chr8.988
KH.104266185	KY.Chr11.296
KH.104266190	KY.Chr11.409
KH.104266195	KY.Chr3.1639
KH.104266211	KY.Chr11.320
KH.104266214	KY.Chr11.408
KH.104266219	KY.Chr11.733
KH.104266220	KY.UAContig1.128
KH.104266233	KY.Chr7.973
KH.104266235	KY.Chr10.1368
KH.104266257	KY.Chr11.844
KH.104266258	KY.Chr11.873
KH.104266268	KY.Chr11.1109
KH.104266275	KY.Chr11.1285
KH.104266280	KY.Chr12.185
KH.104266289	KY.Chr13.171
KH.104266292	KY.Chr12.45
KH.104266296	KY.Chr12.85
KH.104266306	KY.Chr12.305
KH.104266341	KY.Chr3.479
KH.104266343	KY.Chr12.661
KH.104266351	KY.Chr12.825
KH.104266375	KY.Chr13.301
KH.104266376	KY.Chr13.324
KH.104266384	KY.Chr14.212
KH.104266396	KY.Chr14.178
KH.104266414	KY.Chr10.1388
KH.104266420	KY.Chr14.1020
KH.104266425	KY.Chr14.1099
KH.104266433	KY.Chr14.910
KH.104266450	KY.Chr2.2226
KH.104266465	KY.Chr11.639
KH.104266477	KY.Chr2.12
KH.104266483	KY.UAContig27.1
KH.104266515	KY.Chr7.127
KH.104266516	KY.Chr7.139
KH.104266563	KY.Chr14.69
KH.104266571	KY.Chr8.1356
KH.104266582	KY.Chr1.1808
KH.104266604	KY.Chr1.717
KH.104266605	KY.Chr13.206
KH.104266654	KY.Chr10.1368
KH.104266673	KY.Chr9.116
KH.104266681	KY.Chr3.470
KH.104266687	KY.Chr12.1070
KH.104266693	KY.Chr14.1163
KH.104266710	KY.Chr9.21
KH.104266718	KY.Chr4.1142
KH.104266725	KY.Chr1.846
KH.104266728	KY.Chr12.322
KH.104266730	KY.Chr9.1157
KH.104266753	KY.Chr14.919
KH.104266756	KY.Chr10.121
KH.104266763	KY.Chr11.859
KH.104266764	KY.Chr2.1572
KH.104266772	KY.Chr3.1710
KH.104266773	KY.Chr3.1711
KH.104266774	KY.Chr12.325
KH.104266780	KY.Chr11.446
KH.104266781	KY.Chr11.445
KH.104266784	KY.Chr11.142
KH.104266785	KY.Chr11.142
KH.104266793	KY.Chr2.2189
KH.104266802	KY.Chr1.668
KH.104266805	KY.Chr1.852
KH.104266812	KY.Chr1.1001
KH.104266817	KY.Chr1.149
KH.104266832	KY.Chr1.873
KH.104266833	KY.Chr1.885
KH.104266834	KY.Chr1.903
KH.104266838	KY.Chr1.1021
KH.104266864	KY.Chr8.225
KH.104266865	KY.Chr1.1994
KH.104266873	KY.Chr1.2140
KH.108949289	KY.Chr13.323
KH.108949295	KY.UAContig1.43
KH.108949298	KY.Chr4.1236
KH.108949300	KY.Chr10.1087
KH.108949305	KY.Chr3.703
KH.108949309	KY.Chr3.158
KH.108949312	KY.Chr3.1363
KH.108949313	KY.Chr3.1365
KH.108949321	KY.Chr3.1267
KH.108949324	KY.Chr3.958
KH.108949330	KY.Chr3.686
KH.108949332	KY.Chr3.551
KH.108949339	KY.Chr3.221
KH.108949341	KY.Chr14.568
KH.108949413	KY.Chr4.298
KH.108949415	KY.Chr4.341
KH.108949416	KY.Chr4.487
KH.108949417	KY.Chr4.493
KH.108949422	KY.Chr4.923
KH.108949425	KY.Chr4.1166
KH.108949454	KY.Chr4.395
KH.108949457	KY.Chr4.453
KH.108949458	KY.Chr4.484
KH.108949459	KY.Chr4.598
KH.108949470	KY.Chr4.241
KH.108949471	KY.Chr1.2354
KH.108949472	KY.Chr4.808
KH.108949490	KY.Chr5.110
KH.108949491	KY.Chr5.112
KH.108949492	KY.Chr5.177
KH.108949493	KY.Chr5.253
KH.108949495	KY.Chr5.394
KH.108949497	KY.Chr5.560
KH.108949498	KY.Chr5.592
KH.108949500	KY.Chr5.781
KH.108949502	KY.Chr12.425
KH.108949504	KY.Chr5.490
KH.108949509	KY.Chr5.667
KH.108949511	KY.Chr5.366
KH.108949512	KY.Chr1.884
KH.108949521	KY.Chr1.879
KH.108949524	KY.Chr5.237
KH.108949526	KY.Chr5.238
KH.108949537	KY.Chr6.82
KH.108949539	KY.Chr6.68
KH.108949541	KY.Chr6.339
KH.108949542	KY.Chr6.418
KH.108949543	KY.Chr6.453
KH.108949544	KY.Chr6.538
KH.108949545	KY.Chr6.491
KH.108949547	KY.Chr6.472
KH.108949554	KY.Chr6.75
KH.108949556	KY.Chr6.64
KH.108949591	KY.Chr1.2273
KH.108949592	KY.Chr7.232
KH.108949595	KY.Chr7.310
KH.108949596	KY.Chr7.524
KH.108949597	KY.Chr7.712
KH.108949598	KY.Chr7.737
KH.108949605	KY.Chr7.1165
KH.108949623	KY.Chr7.934
KH.108949630	KY.Chr7.468
KH.108949636	KY.Chr7.884
KH.108949637	KY.Chr9.70
KH.108949638	KY.Chr7.958
KH.108949640	KY.Chr7.734
KH.108949641	KY.Chr7.695
KH.108949664	KY.Chr8.209
KH.108949666	KY.Chr8.312
KH.108949667	KY.Chr8.313
KH.108949668	KY.Chr8.314
KH.108949669	KY.Chr8.315
KH.108949670	KY.Chr8.355
KH.108949671	KY.Chr8.398
KH.108949672	KY.Chr8.471
KH.108949673	KY.Chr8.513
KH.108949674	KY.Chr8.642
KH.108949676	KY.Chr8.885
KH.108949680	KY.Chr8.1275
KH.108949689	KY.UAContig7.71
KH.108949690	KY.Chr8.365
KH.108949706	KY.Chr1.652
KH.108949707	KY.Chr8.669
KH.108949709	KY.Chr8.416
KH.108949710	KY.Chr8.1035
KH.108949721	KY.Chr8.257
KH.108949740	KY.Chr9.347
KH.108949746	KY.Chr9.1127
KH.108949752	KY.Chr9.1105
KH.108949753	KY.Chr9.1118
KH.108949754	KY.Chr9.72
KH.108949756	KY.Chr1.2135
KH.108949759	KY.Chr1.1962
KH.108949767	KY.Chr9.83
KH.108949768	KY.Chr9.701
KH.108949773	KY.Chr9.916
KH.108949781	KY.Chr9.340
KH.108949790	KY.Chr9.334
KH.108949816	KY.Chr7.192
KH.108949817	KY.Chr10.167
KH.108949818	KY.Chr10.200
KH.108949819	KY.Chr10.579
KH.108949820	KY.Chr10.579
KH.108949823	KY.Chr10.845
KH.108949824	KY.Chr10.851
KH.108949827	KY.Chr10.1024
KH.108949828	KY.Chr10.1030
KH.108949829	KY.Chr10.1031
KH.108949831	KY.Chr10.1077
KH.108949835	KY.Chr10.897
KH.108949836	KY.Chr5.259
KH.108949837	KY.Chr10.963
KH.108949851	KY.Chr10.315
KH.108949856	KY.Chr10.170
KH.108949858	KY.Chr10.770
KH.108949859	KY.Chr10.850
KH.108949888	KY.Chr3.481
KH.108949889	KY.Chr11.803
KH.108949891	KY.Chr11.920
KH.108949892	KY.Chr11.921
KH.108949893	KY.Chr11.969
KH.108949897	KY.Chr11.1066
KH.108949901	KY.Chr11.1180
KH.108949904	KY.Chr13.141
KH.108949909	KY.Chr11.812
KH.108949912	KY.Chr11.960
KH.108949915	KY.Chr11.228
KH.108949919	KY.Chr11.1252
KH.108949920	KY.Chr11.1260
KH.108949924	KY.Chr11.946
KH.108949929	KY.Chr11.1303
KH.108949958	KY.Chr12.68
KH.108949961	KY.Chr12.137
KH.108949966	KY.Chr12.746
KH.108949968	KY.Chr12.944
KH.108949971	KY.Chr12.902
KH.108949972	KY.Chr12.816
KH.108949973	KY.Chr8.139
KH.108949976	KY.Chr1.2000
KH.108949977	KY.Chr12.813
KH.108949983	KY.Chr12.195
KH.108949985	KY.Chr12.198
KH.108949988	KY.Chr12.476
KH.108949996	KY.Chr12.772
KH.108950008	KY.Chr12.596
KH.108950014	KY.Chr12.703
KH.108950032	KY.Chr13.70
KH.108950033	KY.Chr13.242
KH.108950034	KY.Chr13.306
KH.108950041	KY.Chr1.2009
KH.108950049	KY.Chr1.1599
KH.108950055	KY.Chr14.248
KH.108950058	KY.Chr14.368
KH.108950069	KY.Chr14.1037
KH.108950072	KY.Chr1.1713
KH.108950074	KY.Chr1.1710
KH.108950076	KY.Chr5.259
KH.108950083	KY.Chr1.1597
KH.108950100	KY.Chr14.412
KH.108950124	KY.Chr7.335
KH.108950125	KY.Chr7.339
KH.108950126	KY.Chr7.339
KH.108950128	KY.Chr7.331
KH.108950130	KY.UAContig19.1
KH.108950136	KY.Chr7.314
KH.108950137	KY.Chr10.154
KH.108950138	KY.Chr6.307
KH.108950139	KY.Chr2.373
KH.108950140	KY.UAContig6.12
KH.108950144	KY.Chr2.374
KH.108950148	KY.Chr11.1315
KH.108950161	KY.Chr2.2264
KH.108950170	KY.Chr11.640
KH.108950171	KY.Chr7.101
KH.108950180	KY.Chr8.154
KH.108950181	KY.UAContig16.4
KH.108950185	KY.Chr1.1316
KH.108950190	KY.Chr7.591
KH.108950191	KY.Chr7.590
KH.108950192	KY.UAContig24.1
KH.108950193	KY.UAContig15.9
KH.108950194	KY.Chr10.627
KH.108950198	KY.Chr3.380
KH.108950199	KY.Chr9.386
KH.108950201	KY.Chr10.1435
KH.108950202	KY.Chr10.1429
KH.108950203	KY.Chr3.1686
KH.108950205	KY.UAContig3.133
KH.108950210	KY.Chr1.2508
KH.108950211	KY.Chr1.2510
KH.108950213	KY.Chr1.2538
KH.108950218	KY.Chr7.135
KH.108950219	KY.Chr1.622
KH.108950221	KY.Chr5.1060
KH.108950231	KY.Chr10.1239
KH.108950232	KY.Chr10.1238
KH.108950242	KY.Chr4.1307
KH.108950247	KY.Chr6.127
KH.108950248	KY.Chr6.132
KH.108950252	KY.Chr11.704
KH.108950256	KY.Chr14.1135
KH.108950262	KY.Chr10.104
KH.108950267	KY.Chr14.589
KH.108950272	KY.Chr1.2405
KH.108950275	KY.Chr8.1357
KH.108950277	KY.Chr5.925
KH.108950278	KY.Chr5.942
KH.108950279	KY.Chr5.977
KH.108950283	KY.Chr1.644
KH.108950289	KY.Chr1.1741
KH.108950290	KY.Chr1.1728
KH.108950291	KY.Chr1.1851
KH.108950292	KY.Chr1.1851
KH.108950294	KY.Chr1.1744
KH.108950300	KY.Chr1.1789
KH.108950303	KY.Chr13.99
KH.108950308	KY.Chr1.671
KH.108950309	KY.Chr6.665
